,Accuracy,Precision,Recall,F1 Score,ROC AUC
Tuned Logistic Regression,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9621212121212122
Tuned Random Forest,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9502164502164503
